,X,Y,S
03050919,"[13.433401113273032, 13.435606697185888, 13.436956920781807, 13.442499640583014, 13.447965098015802, 13.447340367328051, 13.447523304646266, 13.447408754821216, 13.44928586805097, 13.452097496006425, 13.457371915846096, 13.455075773107861, 13.445491186547311, 13.439734708578523, 13.439696888152495, 13.439380588087415, 13.438679264213437, 13.433394588245243, 13.43364086503703, 13.433347229370113, 13.433401113273032]","[52.55805665511853, 52.558798891596396, 52.5595865440475, 52.56203774347142, 52.56407793927735, 52.56468003768509, 52.5646506565116, 52.56491192131024, 52.564602978870035, 52.56324478163996, 52.561061529491866, 52.55921602810468, 52.553915928001665, 52.55547238259942, 52.5556727381122, 52.5558708563687, 52.55575560810001, 52.557188568259924, 52.55751960974971, 52.55791996139242, 52.55805665511853]","[[13.433401113273032, 52.55805665511853], [13.435606697185888, 52.558798891596396], [13.436956920781807, 52.5595865440475], [13.442499640583014, 52.56203774347142], [13.447965098015802, 52.56407793927735], [13.447340367328051, 52.56468003768509], [13.447523304646266, 52.5646506565116], [13.447408754821216, 52.56491192131024], [13.44928586805097, 52.564602978870035], [13.452097496006425, 52.56324478163996], [13.457371915846096, 52.561061529491866], [13.455075773107861, 52.55921602810468], [13.445491186547311, 52.553915928001665], [13.439734708578523, 52.55547238259942], [13.439696888152495, 52.5556727381122], [13.439380588087415, 52.5558708563687], [13.438679264213437, 52.55575560810001], [13.433394588245243, 52.557188568259924], [13.43364086503703, 52.55751960974971], [13.433347229370113, 52.55791996139242], [13.433401113273032, 52.55805665511853]]"
03050920,"[13.445491186547311, 13.455075773107861, 13.457371915846096, 13.46623170829259, 13.467108086078062, 13.46754473311526, 13.467901780870069, 13.467828762688363, 13.467302997394823, 13.466143388082028, 13.465657520314952, 13.46327296629981, 13.458484341487974, 13.458516412818524, 13.450898038724883, 13.449565541121622, 13.448699493639323, 13.448378867449554, 13.448484403963121, 13.445491186547311]","[52.553915928001665, 52.55921602810468, 52.561061529491866, 52.55728699964491, 52.5571129319061, 52.55625712692162, 52.554942865409565, 52.553946174628585, 52.55295606548303, 52.55195700846267, 52.55221068783965, 52.55118566641077, 52.550098792049546, 52.55020210083913, 52.55232353553567, 52.552624421222085, 52.55241372128497, 52.55294528331058, 52.553099123661134, 52.553915928001665]","[[13.445491186547311, 52.553915928001665], [13.455075773107861, 52.55921602810468], [13.457371915846096, 52.561061529491866], [13.46623170829259, 52.55728699964491], [13.467108086078062, 52.5571129319061], [13.46754473311526, 52.55625712692162], [13.467901780870069, 52.554942865409565], [13.467828762688363, 52.553946174628585], [13.467302997394823, 52.55295606548303], [13.466143388082028, 52.55195700846267], [13.465657520314952, 52.55221068783965], [13.46327296629981, 52.55118566641077], [13.458484341487974, 52.550098792049546], [13.458516412818524, 52.55020210083913], [13.450898038724883, 52.55232353553567], [13.449565541121622, 52.552624421222085], [13.448699493639323, 52.55241372128497], [13.448378867449554, 52.55294528331058], [13.448484403963121, 52.553099123661134], [13.445491186547311, 52.553915928001665]]"
03050923,"[13.429365601244928, 13.433401113273032, 13.433347229370113, 13.43364086503703, 13.433394588245243, 13.438679264213437, 13.439380588087415, 13.439696888152495, 13.439734708578523, 13.445491186547311, 13.440963224170993, 13.433964574157665, 13.432130942167104, 13.43022096389594, 13.428961481932715, 13.429365601244928]","[52.55670470673171, 52.55805665511853, 52.55791996139242, 52.55751960974971, 52.557188568259924, 52.55575560810001, 52.5558708563687, 52.5556727381122, 52.55547238259942, 52.553915928001665, 52.54909850190029, 52.550943909625566, 52.551206845615084, 52.5517060808676, 52.55640664575135, 52.55670470673171]","[[13.429365601244928, 52.55670470673171], [13.433401113273032, 52.55805665511853], [13.433347229370113, 52.55791996139242], [13.43364086503703, 52.55751960974971], [13.433394588245243, 52.557188568259924], [13.438679264213437, 52.55575560810001], [13.439380588087415, 52.5558708563687], [13.439696888152495, 52.5556727381122], [13.439734708578523, 52.55547238259942], [13.445491186547311, 52.553915928001665], [13.440963224170993, 52.54909850190029], [13.433964574157665, 52.550943909625566], [13.432130942167104, 52.551206845615084], [13.43022096389594, 52.5517060808676], [13.428961481932715, 52.55640664575135], [13.429365601244928, 52.55670470673171]]"
03050924,"[13.440963224170993, 13.445491186547311, 13.448484403963121, 13.448378867449554, 13.448699493639323, 13.449565541121622, 13.458516412818524, 13.45093268879869, 13.447658064307328, 13.44723700672855, 13.447010694245398, 13.442748811406704, 13.440963224170993]","[52.54909850190029, 52.553915928001665, 52.553099123661134, 52.55294528331058, 52.55241372128497, 52.552624421222085, 52.55020210083913, 52.548455841662836, 52.54712900704927, 52.54733867153442, 52.54716936852138, 52.54866001365112, 52.54909850190029]","[[13.440963224170993, 52.54909850190029], [13.445491186547311, 52.553915928001665], [13.448484403963121, 52.553099123661134], [13.448378867449554, 52.55294528331058], [13.448699493639323, 52.55241372128497], [13.449565541121622, 52.552624421222085], [13.458516412818524, 52.55020210083913], [13.45093268879869, 52.548455841662836], [13.447658064307328, 52.54712900704927], [13.44723700672855, 52.54733867153442], [13.447010694245398, 52.54716936852138], [13.442748811406704, 52.54866001365112], [13.440963224170993, 52.54909850190029]]"
03050925,"[13.447658064307328, 13.45093268879869, 13.462461545287802, 13.463655775075132, 13.465657520314952, 13.466143388082028, 13.46627240582747, 13.466592747873168, 13.467362570927342, 13.467017065250918, 13.46984059625704, 13.467309599812719, 13.455067161713155, 13.455619861906719, 13.455072141103567, 13.454761545484605, 13.454480393813377, 13.453597086056384, 13.448030817539603, 13.447658064307328]","[52.54712900704927, 52.548455841662836, 52.550957168009866, 52.551311924902244, 52.55221068783965, 52.55195700846267, 52.55135593774005, 52.55083969520914, 52.54831999464039, 52.54807067324845, 52.5404574913925, 52.538494176064894, 52.543671254314134, 52.54404403541336, 52.54463999617736, 52.54453619268794, 52.54483146462607, 52.544529105117455, 52.5468070176392, 52.54712900704927]","[[13.447658064307328, 52.54712900704927], [13.45093268879869, 52.548455841662836], [13.462461545287802, 52.550957168009866], [13.463655775075132, 52.551311924902244], [13.465657520314952, 52.55221068783965], [13.466143388082028, 52.55195700846267], [13.46627240582747, 52.55135593774005], [13.466592747873168, 52.55083969520914], [13.467362570927342, 52.54831999464039], [13.467017065250918, 52.54807067324845], [13.46984059625704, 52.5404574913925], [13.467309599812719, 52.538494176064894], [13.455067161713155, 52.543671254314134], [13.455619861906719, 52.54404403541336], [13.455072141103567, 52.54463999617736], [13.454761545484605, 52.54453619268794], [13.454480393813377, 52.54483146462607], [13.453597086056384, 52.544529105117455], [13.448030817539603, 52.5468070176392], [13.447658064307328, 52.54712900704927]]"
03051017,"[13.44912643654304, 13.454898760636638, 13.455778492744756, 13.457617421000684, 13.486069094817266, 13.485595415768993, 13.485321605374823, 13.485187395823129, 13.485397632162114, 13.486977438862843, 13.488772165831836, 13.490277792066879, 13.491317674909325, 13.495105681842578, 13.495584860833505, 13.49563714047705, 13.49442932515656, 13.490325168283276, 13.479458273462868, 13.478967622633716, 13.478499348526197, 13.478507122497048, 13.478238692773457, 13.478099010638198, 13.482576968520398, 13.48220738456029, 13.478104471857852, 13.477448722268658, 13.471753716304827, 13.469481526605794, 13.46720273274262, 13.466783681471496, 13.466915137787677, 13.466646673040358, 13.466667076464446, 13.467108086078062, 13.46623170829259, 13.44912643654304]","[52.564625208206074, 52.56717772217333, 52.56736143387713, 52.56740990522073, 52.56415262124942, 52.562417708251644, 52.56227358687749, 52.561798003675555, 52.56155029737517, 52.56135804560643, 52.56084787585989, 52.56036439819133, 52.55976883937891, 52.555822685782324, 52.55483021950174, 52.55360720737969, 52.55078414967648, 52.551697904022504, 52.5535019422146, 52.553858124427464, 52.55500691530941, 52.55533495844595, 52.55534630600303, 52.555692947696585, 52.55605616670485, 52.557727158817904, 52.557571102701665, 52.56047836091915, 52.559714332340086, 52.55969696159046, 52.559891636573596, 52.55913893217567, 52.55910945161021, 52.55832010188566, 52.55795974207507, 52.5571129319061, 52.55728699964491, 52.564625208206074]","[[13.44912643654304, 52.564625208206074], [13.454898760636638, 52.56717772217333], [13.455778492744756, 52.56736143387713], [13.457617421000684, 52.56740990522073], [13.486069094817266, 52.56415262124942], [13.485595415768993, 52.562417708251644], [13.485321605374823, 52.56227358687749], [13.485187395823129, 52.561798003675555], [13.485397632162114, 52.56155029737517], [13.486977438862843, 52.56135804560643], [13.488772165831836, 52.56084787585989], [13.490277792066879, 52.56036439819133], [13.491317674909325, 52.55976883937891], [13.495105681842578, 52.555822685782324], [13.495584860833505, 52.55483021950174], [13.49563714047705, 52.55360720737969], [13.49442932515656, 52.55078414967648], [13.490325168283276, 52.551697904022504], [13.479458273462868, 52.5535019422146], [13.478967622633716, 52.553858124427464], [13.478499348526197, 52.55500691530941], [13.478507122497048, 52.55533495844595], [13.478238692773457, 52.55534630600303], [13.478099010638198, 52.555692947696585], [13.482576968520398, 52.55605616670485], [13.48220738456029, 52.557727158817904], [13.478104471857852, 52.557571102701665], [13.477448722268658, 52.56047836091915], [13.471753716304827, 52.559714332340086], [13.469481526605794, 52.55969696159046], [13.46720273274262, 52.559891636573596], [13.466783681471496, 52.55913893217567], [13.466915137787677, 52.55910945161021], [13.466646673040358, 52.55832010188566], [13.466667076464446, 52.55795974207507], [13.467108086078062, 52.5571129319061], [13.46623170829259, 52.55728699964491], [13.44912643654304, 52.564625208206074]]"
03051021,"[13.467108086078062, 13.466667076464446, 13.466646673040358, 13.466915137787677, 13.466783681471496, 13.46720273274262, 13.469481526605794, 13.471753716304827, 13.477448722268658, 13.478104471857852, 13.48220738456029, 13.482576968520398, 13.478099010638198, 13.478238692773457, 13.478507122497048, 13.478679308188813, 13.479195612185816, 13.47887988548007, 13.478857247251513, 13.46898932549513, 13.467828762688363, 13.467901780870069, 13.46754473311526, 13.467108086078062]","[52.5571129319061, 52.55795974207507, 52.55832010188566, 52.55910945161021, 52.55913893217567, 52.559891636573596, 52.55969696159046, 52.559714332340086, 52.56047836091915, 52.557571102701665, 52.557727158817904, 52.55605616670485, 52.555692947696585, 52.55534630600303, 52.55533495844595, 52.55454250097891, 52.55357351346244, 52.5536584988042, 52.553374474443196, 52.55385515592844, 52.553946174628585, 52.554942865409565, 52.55625712692162, 52.5571129319061]","[[13.467108086078062, 52.5571129319061], [13.466667076464446, 52.55795974207507], [13.466646673040358, 52.55832010188566], [13.466915137787677, 52.55910945161021], [13.466783681471496, 52.55913893217567], [13.46720273274262, 52.559891636573596], [13.469481526605794, 52.55969696159046], [13.471753716304827, 52.559714332340086], [13.477448722268658, 52.56047836091915], [13.478104471857852, 52.557571102701665], [13.48220738456029, 52.557727158817904], [13.482576968520398, 52.55605616670485], [13.478099010638198, 52.555692947696585], [13.478238692773457, 52.55534630600303], [13.478507122497048, 52.55533495844595], [13.478679308188813, 52.55454250097891], [13.479195612185816, 52.55357351346244], [13.47887988548007, 52.5536584988042], [13.478857247251513, 52.553374474443196], [13.46898932549513, 52.55385515592844], [13.467828762688363, 52.553946174628585], [13.467901780870069, 52.554942865409565], [13.46754473311526, 52.55625712692162], [13.467108086078062, 52.5571129319061]]"
03051022,"[13.466143388082028, 13.467097566769795, 13.467828762688363, 13.478857247251513, 13.47887988548007, 13.486119867174725, 13.482222085648932, 13.481687481544187, 13.480371110115776, 13.480254122850969, 13.480082143807461, 13.479746893326475, 13.479341107518465, 13.47976492153675, 13.480459550090966, 13.479644748834033, 13.469928108352248, 13.468526022471725, 13.467362570927342, 13.466143388082028]","[52.55195700846267, 52.55269965319285, 52.553946174628585, 52.553374474443196, 52.5536584988042, 52.55239660174325, 52.54964658911469, 52.54948596377011, 52.54945109346153, 52.54960193437865, 52.549469609588876, 52.54962107857655, 52.54930242707148, 52.549100830442164, 52.54811938555541, 52.54754598101593, 52.547741133059155, 52.54822988320959, 52.54831999464039, 52.55195700846267]","[[13.466143388082028, 52.55195700846267], [13.467097566769795, 52.55269965319285], [13.467828762688363, 52.553946174628585], [13.478857247251513, 52.553374474443196], [13.47887988548007, 52.5536584988042], [13.486119867174725, 52.55239660174325], [13.482222085648932, 52.54964658911469], [13.481687481544187, 52.54948596377011], [13.480371110115776, 52.54945109346153], [13.480254122850969, 52.54960193437865], [13.480082143807461, 52.549469609588876], [13.479746893326475, 52.54962107857655], [13.479341107518465, 52.54930242707148], [13.47976492153675, 52.549100830442164], [13.480459550090966, 52.54811938555541], [13.479644748834033, 52.54754598101593], [13.469928108352248, 52.547741133059155], [13.468526022471725, 52.54822988320959], [13.467362570927342, 52.54831999464039], [13.466143388082028, 52.55195700846267]]"
03061126,"[13.396845945634693, 13.397629445707572, 13.398062642465435, 13.39717621396322, 13.397096972487839, 13.397669089212382, 13.403096608970776, 13.414492410434617, 13.414623147342706, 13.415031791310195, 13.414045308984132, 13.413335855263231, 13.413374513864618, 13.409939648781442, 13.403585720711666, 13.402889552453036, 13.401303932833988, 13.40015851848774, 13.396845945634693]","[52.550703368915, 52.551417485178824, 52.5525991562178, 52.55634305578896, 52.558267789102, 52.55854291707352, 52.557981784084994, 52.55743932833413, 52.5572373496195, 52.55445221703935, 52.549294021076584, 52.54936104876223, 52.54958849567624, 52.54990310655318, 52.54961720132839, 52.54969767232468, 52.550155622571154, 52.55100363177117, 52.550703368915]","[[13.396845945634693, 52.550703368915], [13.397629445707572, 52.551417485178824], [13.398062642465435, 52.5525991562178], [13.39717621396322, 52.55634305578896], [13.397096972487839, 52.558267789102], [13.397669089212382, 52.55854291707352], [13.403096608970776, 52.557981784084994], [13.414492410434617, 52.55743932833413], [13.414623147342706, 52.5572373496195], [13.415031791310195, 52.55445221703935], [13.414045308984132, 52.549294021076584], [13.413335855263231, 52.54936104876223], [13.413374513864618, 52.54958849567624], [13.409939648781442, 52.54990310655318], [13.403585720711666, 52.54961720132839], [13.402889552453036, 52.54969767232468], [13.401303932833988, 52.550155622571154], [13.40015851848774, 52.55100363177117], [13.396845945634693, 52.550703368915]]"
03061131,"[13.3988986509943, 13.400387252201094, 13.400622188030367, 13.40156551212368, 13.403585720711666, 13.409939648781442, 13.413374513864618, 13.413335855263231, 13.414045308984132, 13.413846394037055, 13.412687734646312, 13.412529443534527, 13.412948449937657, 13.412564848659287, 13.408347767360253, 13.403527257635968, 13.400357454039439, 13.399232348818083, 13.3988986509943]","[52.55088528076554, 52.550954639016695, 52.55057402821515, 52.550031287006064, 52.54961720132839, 52.54990310655318, 52.54958849567624, 52.54936104876223, 52.549294021076584, 52.54773275891175, 52.54348994729849, 52.54149017648119, 52.541400161912115, 52.540884499274775, 52.54121921631888, 52.54021183839978, 52.5464163798854, 52.54906699247333, 52.55088528076554]","[[13.3988986509943, 52.55088528076554], [13.400387252201094, 52.550954639016695], [13.400622188030367, 52.55057402821515], [13.40156551212368, 52.550031287006064], [13.403585720711666, 52.54961720132839], [13.409939648781442, 52.54990310655318], [13.413374513864618, 52.54958849567624], [13.413335855263231, 52.54936104876223], [13.414045308984132, 52.549294021076584], [13.413846394037055, 52.54773275891175], [13.412687734646312, 52.54348994729849], [13.412529443534527, 52.54149017648119], [13.412948449937657, 52.541400161912115], [13.412564848659287, 52.540884499274775], [13.408347767360253, 52.54121921631888], [13.403527257635968, 52.54021183839978], [13.400357454039439, 52.5464163798854], [13.399232348818083, 52.54906699247333], [13.3988986509943, 52.55088528076554]]"
03061227,"[13.414045308984132, 13.414933878932548, 13.427275848973432, 13.429975571552028, 13.427872038935233, 13.42692201621186, 13.42525789137408, 13.419895670334325, 13.415838351632324, 13.414045308984132]","[52.549294021076584, 52.55395064411952, 52.55258721302644, 52.5515439035001, 52.54691151433226, 52.544140226615745, 52.54476921265704, 52.547549346955506, 52.548880307162605, 52.549294021076584]","[[13.414045308984132, 52.549294021076584], [13.414933878932548, 52.55395064411952], [13.427275848973432, 52.55258721302644], [13.429975571552028, 52.5515439035001], [13.427872038935233, 52.54691151433226], [13.42692201621186, 52.544140226615745], [13.42525789137408, 52.54476921265704], [13.419895670334325, 52.547549346955506], [13.415838351632324, 52.548880307162605], [13.414045308984132, 52.549294021076584]]"
03061228,"[13.42692201621186, 13.427872038935233, 13.430070447456476, 13.432130942167104, 13.433964574157665, 13.442748811406704, 13.447010694245398, 13.44723700672855, 13.447658064307328, 13.443298521432204, 13.44241049713435, 13.43723785763159, 13.433897186510585, 13.433100542380792, 13.42692201621186]","[52.544140226615745, 52.54691151433226, 52.55175526102284, 52.551206845615084, 52.550943909625566, 52.54866001365112, 52.54716936852138, 52.54733867153442, 52.54712900704927, 52.545157010458176, 52.54460390586447, 52.540203140592084, 52.541424421464406, 52.54192002753773, 52.544140226615745]","[[13.42692201621186, 52.544140226615745], [13.427872038935233, 52.54691151433226], [13.430070447456476, 52.55175526102284], [13.432130942167104, 52.551206845615084], [13.433964574157665, 52.550943909625566], [13.442748811406704, 52.54866001365112], [13.447010694245398, 52.54716936852138], [13.44723700672855, 52.54733867153442], [13.447658064307328, 52.54712900704927], [13.443298521432204, 52.545157010458176], [13.44241049713435, 52.54460390586447], [13.43723785763159, 52.540203140592084], [13.433897186510585, 52.541424421464406], [13.433100542380792, 52.54192002753773], [13.42692201621186, 52.544140226615745]]"
03061332,"[13.412564848659287, 13.412948449937657, 13.412529443534527, 13.412687734646312, 13.413846394037055, 13.414045308984132, 13.415838351632324, 13.419895670334325, 13.42525789137408, 13.426772972801205, 13.424000069032253, 13.424699102057204, 13.4244184554586, 13.412564848659287]","[52.540884499274775, 52.541400161912115, 52.54149017648119, 52.54348994729849, 52.54773275891175, 52.549294021076584, 52.548880307162605, 52.547549346955506, 52.54476921265704, 52.54419120254016, 52.53945065790046, 52.53933771368356, 52.538851024197655, 52.540884499274775]","[[13.412564848659287, 52.540884499274775], [13.412948449937657, 52.541400161912115], [13.412529443534527, 52.54149017648119], [13.412687734646312, 52.54348994729849], [13.413846394037055, 52.54773275891175], [13.414045308984132, 52.549294021076584], [13.415838351632324, 52.548880307162605], [13.419895670334325, 52.547549346955506], [13.42525789137408, 52.54476921265704], [13.426772972801205, 52.54419120254016], [13.424000069032253, 52.53945065790046], [13.424699102057204, 52.53933771368356], [13.4244184554586, 52.538851024197655], [13.412564848659287, 52.540884499274775]]"
03061429,"[13.437928037186415, 13.442622195303581, 13.447658064307328, 13.448030817539603, 13.453597086056384, 13.454480393813377, 13.454761545484605, 13.455072141103567, 13.455619861906719, 13.455067161713155, 13.457923812797741, 13.449403398499932, 13.449069164405275, 13.44796085498478, 13.446123049650357, 13.437928037186415]","[52.54078922241724, 52.54474263846351, 52.54712900704927, 52.5468070176392, 52.544529105117455, 52.54483146462607, 52.54453619268794, 52.54463999617736, 52.54404403541336, 52.543671254314134, 52.54247654911078, 52.53686909546887, 52.537157984396096, 52.536452705500636, 52.53751661587905, 52.54078922241724]","[[13.437928037186415, 52.54078922241724], [13.442622195303581, 52.54474263846351], [13.447658064307328, 52.54712900704927], [13.448030817539603, 52.5468070176392], [13.453597086056384, 52.544529105117455], [13.454480393813377, 52.54483146462607], [13.454761545484605, 52.54453619268794], [13.455072141103567, 52.54463999617736], [13.455619861906719, 52.54404403541336], [13.455067161713155, 52.543671254314134], [13.457923812797741, 52.54247654911078], [13.449403398499932, 52.53686909546887], [13.449069164405275, 52.537157984396096], [13.44796085498478, 52.536452705500636], [13.446123049650357, 52.53751661587905], [13.437928037186415, 52.54078922241724]]"
03061430,"[13.448287748889838, 13.457923812797741, 13.467647342936127, 13.466383414914405, 13.467804522729114, 13.468742520217642, 13.467308122480492, 13.46695881587029, 13.464524507255245, 13.464444215928205, 13.463388921871612, 13.460673516540849, 13.456333369313333, 13.454389710360363, 13.454087741465672, 13.448287748889838]","[52.53614583410342, 52.54247654911078, 52.53844879491975, 52.53665602320388, 52.536122387225504, 52.53471183426188, 52.53402876958004, 52.53405436219959, 52.53320095095264, 52.53298874181702, 52.53263319407122, 52.52935742870793, 52.528395111730525, 52.530310901462386, 52.53029608224399, 52.53614583410342]","[[13.448287748889838, 52.53614583410342], [13.457923812797741, 52.54247654911078], [13.467647342936127, 52.53844879491975], [13.466383414914405, 52.53665602320388], [13.467804522729114, 52.536122387225504], [13.468742520217642, 52.53471183426188], [13.467308122480492, 52.53402876958004], [13.46695881587029, 52.53405436219959], [13.464524507255245, 52.53320095095264], [13.464444215928205, 52.53298874181702], [13.463388921871612, 52.53263319407122], [13.460673516540849, 52.52935742870793], [13.456333369313333, 52.528395111730525], [13.454389710360363, 52.530310901462386], [13.454087741465672, 52.53029608224399], [13.448287748889838, 52.53614583410342]]"
03061434,"[13.432479196630359, 13.437928037186415, 13.446123049650357, 13.44796085498478, 13.449069164405275, 13.449403398499932, 13.441344053200426, 13.432479196630359]","[52.53607334036016, 52.54078922241724, 52.53751661587905, 52.536452705500636, 52.537157984396096, 52.53686909546887, 52.53179288956216, 52.53607334036016]","[[13.432479196630359, 52.53607334036016], [13.437928037186415, 52.54078922241724], [13.446123049650357, 52.53751661587905], [13.44796085498478, 52.536452705500636], [13.449069164405275, 52.537157984396096], [13.449403398499932, 52.53686909546887], [13.441344053200426, 52.53179288956216], [13.432479196630359, 52.53607334036016]]"
03061435,"[13.44693245639967, 13.441344053200426, 13.448287748889838, 13.454087741465672, 13.454389710360363, 13.456333369313333, 13.452415853691583, 13.452182053133921, 13.447167536227617, 13.44693245639967]","[52.526627083485224, 52.53179288956216, 52.53614583410342, 52.53029608224399, 52.530310901462386, 52.528395111730525, 52.52752582656641, 52.52779510034432, 52.52640815063712, 52.526627083485224]","[[13.44693245639967, 52.526627083485224], [13.441344053200426, 52.53179288956216], [13.448287748889838, 52.53614583410342], [13.454087741465672, 52.53029608224399], [13.454389710360363, 52.530310901462386], [13.456333369313333, 52.528395111730525], [13.452415853691583, 52.52752582656641], [13.452182053133921, 52.52779510034432], [13.447167536227617, 52.52640815063712], [13.44693245639967, 52.526627083485224]]"
03071536,"[13.404189575106322, 13.408347767360253, 13.412564848659287, 13.412498261744346, 13.412662302168652, 13.41268944051604, 13.413148041248446, 13.412502663513902, 13.410436549258531, 13.409947627641, 13.410090615198108, 13.405584751554523, 13.406085400074463, 13.405990328442256, 13.406423074351538, 13.408349386581628, 13.407485643565206, 13.404703549352215, 13.404189575106322]","[52.54040091806603, 52.54121921631888, 52.540884499274775, 52.53820374862876, 52.53811776740566, 52.53556022061236, 52.53338451162737, 52.53122568213222, 52.52976706763954, 52.529119089963544, 52.528810279074484, 52.52966464157729, 52.53060465577491, 52.53077973054197, 52.53234773714328, 52.53434728700932, 52.534688915502855, 52.5401870867769, 52.54040091806603]","[[13.404189575106322, 52.54040091806603], [13.408347767360253, 52.54121921631888], [13.412564848659287, 52.540884499274775], [13.412498261744346, 52.53820374862876], [13.412662302168652, 52.53811776740566], [13.41268944051604, 52.53556022061236], [13.413148041248446, 52.53338451162737], [13.412502663513902, 52.53122568213222], [13.410436549258531, 52.52976706763954], [13.409947627641, 52.529119089963544], [13.410090615198108, 52.528810279074484], [13.405584751554523, 52.52966464157729], [13.406085400074463, 52.53060465577491], [13.405990328442256, 52.53077973054197], [13.406423074351538, 52.53234773714328], [13.408349386581628, 52.53434728700932], [13.407485643565206, 52.534688915502855], [13.404703549352215, 52.5401870867769], [13.404189575106322, 52.54040091806603]]"
03071537,"[13.410090615198108, 13.409947627641, 13.410436549258531, 13.412502663513902, 13.413148041248446, 13.41268944051604, 13.412662302168652, 13.412498261744346, 13.412519222006258, 13.4244184554586, 13.419768353727644, 13.418521510719799, 13.417218590656207, 13.416221352423017, 13.4154310511117, 13.411312977732745, 13.410090615198108]","[52.528810279074484, 52.529119089963544, 52.52976706763954, 52.53122568213222, 52.53338451162737, 52.53556022061236, 52.53811776740566, 52.53820374862876, 52.54086734100358, 52.538851024197655, 52.53102119623916, 52.529517327992075, 52.528348572337926, 52.52706081482325, 52.5274629365259, 52.52862107928157, 52.528810279074484]","[[13.410090615198108, 52.528810279074484], [13.409947627641, 52.529119089963544], [13.410436549258531, 52.52976706763954], [13.412502663513902, 52.53122568213222], [13.413148041248446, 52.53338451162737], [13.41268944051604, 52.53556022061236], [13.412662302168652, 52.53811776740566], [13.412498261744346, 52.53820374862876], [13.412519222006258, 52.54086734100358], [13.4244184554586, 52.538851024197655], [13.419768353727644, 52.53102119623916], [13.418521510719799, 52.529517327992075], [13.417218590656207, 52.528348572337926], [13.416221352423017, 52.52706081482325], [13.4154310511117, 52.5274629365259], [13.411312977732745, 52.52862107928157], [13.410090615198108, 52.528810279074484]]"
03071633,"[13.4244184554586, 13.424699102057204, 13.424000069032253, 13.426772972801205, 13.433100542380792, 13.433897186510585, 13.43723785763159, 13.432479196630359, 13.4244184554586]","[52.538851024197655, 52.53933771368356, 52.53945065790046, 52.54419120254016, 52.54192002753773, 52.541424421464406, 52.540203140592084, 52.53607334036016, 52.538851024197655]","[[13.4244184554586, 52.538851024197655], [13.424699102057204, 52.53933771368356], [13.424000069032253, 52.53945065790046], [13.426772972801205, 52.54419120254016], [13.433100542380792, 52.54192002753773], [13.433897186510585, 52.541424421464406], [13.43723785763159, 52.540203140592084], [13.432479196630359, 52.53607334036016], [13.4244184554586, 52.538851024197655]]"
03071638,"[13.416221352423017, 13.417218590656207, 13.418521510719799, 13.419768353727644, 13.4244184554586, 13.432479196630359, 13.423555827679367, 13.425026295056192, 13.42485337312309, 13.423642002540447, 13.419752878053364, 13.416221352423017]","[52.52706081482325, 52.528348572337926, 52.529517327992075, 52.53102119623916, 52.538851024197655, 52.53607334036016, 52.528390167753706, 52.52809430312466, 52.527877505126895, 52.527914079845154, 52.52554477284743, 52.52706081482325]","[[13.416221352423017, 52.52706081482325], [13.417218590656207, 52.528348572337926], [13.418521510719799, 52.529517327992075], [13.419768353727644, 52.53102119623916], [13.4244184554586, 52.538851024197655], [13.432479196630359, 52.53607334036016], [13.423555827679367, 52.528390167753706], [13.425026295056192, 52.52809430312466], [13.42485337312309, 52.527877505126895], [13.423642002540447, 52.527914079845154], [13.419752878053364, 52.52554477284743], [13.416221352423017, 52.52706081482325]]"
03071639,"[13.425026295056192, 13.423555827679367, 13.432479196630359, 13.441032111413937, 13.442277201025874, 13.438745782895376, 13.438309493834215, 13.437481177856702, 13.425026295056192]","[52.52809430312466, 52.528390167753706, 52.53607334036016, 52.53203775335121, 52.53102512605857, 52.528777432185755, 52.52880010600448, 52.52954733533463, 52.52809430312466]","[[13.425026295056192, 52.52809430312466], [13.423555827679367, 52.528390167753706], [13.432479196630359, 52.53607334036016], [13.441032111413937, 52.53203775335121], [13.442277201025874, 52.53102512605857], [13.438745782895376, 52.528777432185755], [13.438309493834215, 52.52880010600448], [13.437481177856702, 52.52954733533463], [13.425026295056192, 52.52809430312466]]"
